candidate_id,job_role,fit_score_weighted_heuristic,fit_score_embedding_similarity,fit_score_supervised_ranker
R1355,Backend Developer,0.2906,0.0467,0.2758
R1356,Data Scientist,0.7019,0.3722,0.9845
R1357,ML Engineer,0.3692,0.1683,0.4083
R1358,Frontend Developer,0.4229,0.0686,0.7851
R1359,Data Analyst,0.4848,0.3992,0.5175
R1360,ML Engineer,0.5302,0.2978,0.8335
R1361,Backend Developer,0.4942,0.1825,0.8598
R1362,Data Analyst,0.6081,0.3244,0.9467
R1363,Frontend Developer,0.5086,0.1923,0.8803
R1364,Software Engineer,0.5004,0.1677,0.8811
R1365,Frontend Developer,0.4019,0.1808,0.525
R1366,Data Scientist,0.6648,0.3943,0.968
R1367,ML Engineer,0.4845,0.1392,0.8706
R1368,Data Analyst,0.5091,0.1673,0.8957
R1369,Software Engineer,0.2702,0.0605,0.1941
R1370,ML Engineer,0.6656,0.3398,0.9768
R1371,Data Scientist,0.4874,0.1621,0.8606
R1372,ML Engineer,0.2942,0.1308,0.1835
R1373,Software Engineer,0.5476,0.2428,0.9128
R1374,Data Analyst,0.4288,0.0863,0.7841
R1375,Data Scientist,0.4935,0.1805,0.8598
R1376,ML Engineer,0.4835,0.1362,0.8707
R1377,ML Engineer,0.531,0.1929,0.9141
R1378,Frontend Developer,0.4892,0.1344,0.8822
R1379,Data Scientist,0.585,0.2351,0.9533
R1380,Frontend Developer,0.305,0.1982,0.1413
R1381,Software Engineer,0.3241,0.0722,0.3728
R1382,Data Analyst,0.3659,0.1977,0.3404
R1383,Backend Developer,0.5681,0.2759,0.9239
R1384,Software Engineer,0.4749,0.1248,0.862
R1385,Backend Developer,0.5722,0.2498,0.9379
R1386,Backend Developer,0.732,0.3959,0.9892
R1387,Data Scientist,0.4406,0.1219,0.7822
R1388,Data Scientist,0.5437,0.231,0.9131
R1389,Data Scientist,0.4056,0.2503,0.4233
R1390,Data Scientist,0.3049,0.2362,0.1163
R1391,Backend Developer,0.5918,0.2555,0.953
R1392,Data Scientist,0.6494,0.3483,0.9684
R1393,Backend Developer,0.4975,0.1781,0.8692
R1394,Data Analyst,0.5522,0.2567,0.9124
R1395,Data Scientist,0.4856,0.1424,0.8705
R1396,Frontend Developer,0.6546,0.3637,0.9683
R1397,Data Scientist,0.4693,0.1955,0.7737
R1398,ML Engineer,0.6734,0.3402,0.9795
R1399,Backend Developer,0.5205,0.2016,0.8947
R1400,ML Engineer,0.6893,0.4108,0.9763
R1401,Frontend Developer,0.304,0.2619,0.1003
R1402,Data Scientist,0.3482,0.2747,0.1775
R1403,Backend Developer,0.5,0.1668,0.8811
R1404,ML Engineer,0.4565,0.3863,0.4046
R1405,Data Scientist,0.5063,0.1855,0.8805
R1406,Software Engineer,0.7192,0.4244,0.9843
R1407,Data Scientist,0.4218,0.0653,0.7853
R1408,Data Analyst,0.4256,0.0768,0.7846
R1409,Data Scientist,0.4263,0.0788,0.7845
R1410,Frontend Developer,0.2492,0.0476,0.1516
R1411,Data Scientist,0.4417,0.125,0.782
R1412,Software Engineer,0.4857,0.1237,0.8826
R1413,Software Engineer,0.2988,0.163,0.1646
R1414,Data Scientist,0.4586,0.1634,0.7755
R1415,Data Scientist,0.4857,0.1571,0.8607
R1416,Backend Developer,0.56,0.2133,0.9386
R1417,Software Engineer,0.4223,0.2918,0.416
R1418,ML Engineer,0.6747,0.367,0.9766
R1419,ML Engineer,0.5621,0.2576,0.9243
R1420,Data Scientist,0.6062,0.2985,0.9524
R1421,ML Engineer,0.4948,0.3846,0.5956
R1422,Frontend Developer,0.6722,0.3594,0.9767
R1423,Data Analyst,0.3164,0.2326,0.14
R1424,Backend Developer,0.4217,0.065,0.7853
R1425,Frontend Developer,0.5704,0.2446,0.938
R1426,Data Scientist,0.4441,0.3573,0.411
R1427,Software Engineer,0.6213,0.4673,0.8876
R1428,ML Engineer,0.7699,0.4698,0.9911
R1429,Backend Developer,0.3873,0.1284,0.5501
R1430,Software Engineer,0.572,0.3575,0.8689
R1431,Software Engineer,0.5301,0.1904,0.9141
R1432,Data Analyst,0.6335,0.3004,0.9689
R1433,Software Engineer,0.396,0.2215,0.4256
R1434,Frontend Developer,0.4212,0.0637,0.7854
R1435,Data Scientist,0.3304,0.1579,0.2654
R1436,Data Scientist,0.4283,0.085,0.7842
R1437,Frontend Developer,0.517,0.1911,0.895
R1438,Frontend Developer,0.6018,0.2853,0.9526
R1439,ML Engineer,0.5132,0.1795,0.8954
R1440,ML Engineer,0.4054,0.1997,0.5024
R1441,Backend Developer,0.6421,0.3942,0.9511
R1442,ML Engineer,0.4212,0.0637,0.7854
R1443,ML Engineer,0.5622,0.2582,0.9243
R1444,Data Analyst,0.5122,0.1766,0.8955
R1445,Data Scientist,0.6082,0.2816,0.958
R1446,Data Analyst,0.4981,0.1944,0.8593
R1447,Software Engineer,0.5223,0.1669,0.9147
R1448,Backend Developer,0.4214,0.0642,0.7853
R1449,Frontend Developer,0.5716,0.2481,0.938
R1450,Backend Developer,0.4999,0.2497,0.8003
R1451,Data Analyst,0.5169,0.2173,0.8794
R1452,Software Engineer,0.561,0.2163,0.9385
R1453,ML Engineer,0.6822,0.3896,0.9765
R1454,ML Engineer,0.5332,0.1995,0.9139
R1455,Backend Developer,0.4341,0.1022,0.7833
R1456,Software Engineer,0.4999,0.2497,0.8003
R1457,Software Engineer,0.6092,0.3276,0.9466
R1458,Software Engineer,0.6934,0.3468,0.9847
R1459,Data Scientist,0.7483,0.4448,0.989
R1460,Backend Developer,0.4262,0.0786,0.7845
R1461,Frontend Developer,0.279,0.087,0.1928
R1462,Software Engineer,0.1726,0.0678,0.0377
R1463,Software Engineer,0.5874,0.2621,0.9477
R1464,Data Scientist,0.6412,0.3237,0.9687
R1465,Data Scientist,0.4263,0.0789,0.7845
R1466,Data Analyst,0.5435,0.2019,0.9255
R1467,Backend Developer,0.5557,0.2003,0.9388
R1468,Data Analyst,0.6567,0.3701,0.9682
R1469,Backend Developer,0.5629,0.2221,0.9384
R1470,Data Scientist,0.5928,0.5283,0.74
R1471,Frontend Developer,0.5795,0.2386,0.948
R1472,Data Analyst,0.6914,0.417,0.9763
R1473,Backend Developer,0.6372,0.3115,0.9688
R1474,Data Scientist,0.5736,0.2541,0.9378
R1475,Backend Developer,0.7256,0.4434,0.9842
R1476,ML Engineer,0.5027,0.148,0.8963
R1477,Software Engineer,0.4929,0.1644,0.8697
R1478,Software Engineer,0.4219,0.2492,0.4985
R1479,Software Engineer,0.5859,0.2576,0.9477
R1480,Backend Developer,0.536,0.208,0.9137
R1481,ML Engineer,0.2683,0.1051,0.1493
R1482,ML Engineer,0.245,0.1517,0.0739
R1483,Backend Developer,0.4958,0.1732,0.8694
R1484,Backend Developer,0.7018,0.3722,0.9845
R1485,Frontend Developer,0.5238,0.1715,0.9146
R1486,Backend Developer,0.5536,0.2607,0.9123
R1487,Frontend Developer,0.6543,0.3628,0.9683
R1488,Software Engineer,0.4387,0.1162,0.7825
R1489,Backend Developer,0.2358,0.1239,0.0745
R1490,Backend Developer,0.648,0.3439,0.9685
R1491,Frontend Developer,0.5623,0.2584,0.9242
R1492,Data Scientist,0.4357,0.1071,0.783
R1493,Data Analyst,0.5109,0.1726,0.8956
R1494,Backend Developer,0.5843,0.233,0.9533
R1495,Software Engineer,0.3191,0.1824,0.1959
R1496,Software Engineer,0.57,0.2432,0.938
R1497,Software Engineer,0.6468,0.3404,0.9685
R1498,Backend Developer,0.3534,0.1208,0.412
R1499,Data Analyst,0.5908,0.3059,0.9369
R1500,Software Engineer,0.4191,0.2405,0.4991
R1501,Backend Developer,0.4837,0.1511,0.861
R1502,Data Scientist,0.4291,0.0873,0.7841
R1503,ML Engineer,0.5627,0.2215,0.9384
R1504,Data Analyst,0.4218,0.0653,0.7853
R1505,Frontend Developer,0.3539,0.1955,0.2931
R1506,Data Analyst,0.3297,0.3105,0.1139
R1507,Software Engineer,0.4205,0.0616,0.7855
R1508,Backend Developer,0.577,0.2643,0.9377
R1509,ML Engineer,0.4974,0.1779,0.8692
R1510,ML Engineer,0.4864,0.4378,0.4522
R1511,ML Engineer,0.5991,0.2774,0.9527
R1512,Backend Developer,0.49,0.1367,0.8821
R1513,Backend Developer,0.298,0.2441,0.1008
R1514,Software Engineer,0.5557,0.2004,0.9388
R1515,Software Engineer,0.5008,0.169,0.8811
R1516,Frontend Developer,0.5957,0.267,0.9528
R1517,Backend Developer,0.4205,0.0616,0.7855
R1518,Frontend Developer,0.5384,0.2151,0.9135
R1519,Data Scientist,0.5884,0.2653,0.9476
R1520,ML Engineer,0.1669,0.0508,0.0379
R1521,ML Engineer,0.3816,0.2699,0.2919
R1522,ML Engineer,0.7146,0.4272,0.9814
R1523,Frontend Developer,0.3718,0.1653,0.4137
R1524,Software Engineer,0.2619,0.0859,0.1501
R1525,ML Engineer,0.6644,0.3933,0.968
R1526,Data Analyst,0.6178,0.3533,0.9462
R1527,Data Analyst,0.6309,0.2928,0.9689
R1528,ML Engineer,0.5155,0.1865,0.8952
R1529,Data Scientist,0.614,0.299,0.9578
R1530,Software Engineer,0.3427,0.168,0.2945
R1531,ML Engineer,0.4671,0.2763,0.651
R1532,ML Engineer,0.6958,0.3542,0.9846
R1533,ML Engineer,0.5373,0.2118,0.9136
R1534,ML Engineer,0.5172,0.2181,0.8794
R1535,Frontend Developer,0.5535,0.2319,0.9248
R1536,Frontend Developer,0.4715,0.2896,0.6501
R1537,Backend Developer,0.494,0.1678,0.8696
R1538,Backend Developer,0.3609,0.1577,0.3901
R1539,Data Scientist,0.5324,0.1971,0.9139
R1540,Data Analyst,0.5194,0.1981,0.8948
R1541,Software Engineer,0.4892,0.1341,0.8822
R1542,Frontend Developer,0.2367,0.1457,0.0671
R1543,Backend Developer,0.5581,0.2076,0.9387
R1544,ML Engineer,0.4225,0.0674,0.7852
R1545,ML Engineer,0.2758,0.1775,0.1028
R1546,Backend Developer,0.5707,0.2455,0.938
R1547,Frontend Developer,0.3249,0.2247,0.1641
R1548,Backend Developer,0.4902,0.1563,0.87
R1549,Data Scientist,0.4547,0.3809,0.405
R1550,Frontend Developer,0.2789,0.1866,0.1025
R1551,Software Engineer,0.549,0.2185,0.9251
R1552,Backend Developer,0.4766,0.3749,0.5194
R1553,Data Scientist,0.4432,0.1296,0.7818
R1554,Data Scientist,0.4883,0.1507,0.8702
R1555,Data Scientist,0.445,0.1349,0.7815
R1556,Data Analyst,0.7208,0.4289,0.9843
R1557,Data Scientist,0.4913,0.1596,0.8699
R1558,Frontend Developer,0.4343,0.103,0.7832
R1559,Data Analyst,0.4955,0.1533,0.8816
R1560,Software Engineer,0.4842,0.1382,0.8707
R1561,ML Engineer,0.6282,0.2845,0.969
R1562,Software Engineer,0.3573,0.1618,0.3614
R1563,Software Engineer,0.3505,0.3014,0.1608
R1564,Frontend Developer,0.4672,0.2765,0.651
R1565,Backend Developer,0.71,0.5051,0.9652
R1566,ML Engineer,0.5242,0.1727,0.9146
R1567,Backend Developer,0.5979,0.2938,0.9472
R1568,Backend Developer,0.5511,0.3034,0.8727
R1569,ML Engineer,0.7099,0.4297,0.9811
R1570,ML Engineer,0.6315,0.2946,0.9689
R1571,Data Scientist,0.4327,0.0982,0.7835
R1572,Data Scientist,0.517,0.1911,0.895
R1573,Software Engineer,0.5263,0.1788,0.9144
R1574,Data Scientist,0.4985,0.1621,0.8813
R1575,Backend Developer,0.2672,0.0516,0.1946
R1576,Backend Developer,0.4192,0.0575,0.7857
R1577,Frontend Developer,0.6102,0.3106,0.9522
R1578,Data Analyst,0.4318,0.0955,0.7836
R1579,Data Analyst,0.3309,0.0928,0.3713
R1580,Backend Developer,0.4176,0.0529,0.7859
R1581,Data Scientist,0.5946,0.3171,0.9367
R1582,Frontend Developer,0.4995,0.22,0.8329
R1583,Data Analyst,0.4308,0.0925,0.7838
R1584,Software Engineer,0.3959,0.2027,0.4679
R1585,Frontend Developer,0.363,0.2224,0.2881
R1586,Software Engineer,0.6351,0.3054,0.9688
R1587,Backend Developer,0.5325,0.1974,0.9139
R1588,Backend Developer,0.5429,0.2286,0.9132
R1589,Backend Developer,0.4401,0.1202,0.7823
R1590,Data Scientist,0.2586,0.1658,0.0843
R1591,ML Engineer,0.3678,0.145,0.4359
R1592,Frontend Developer,0.4755,0.1854,0.8007
R1593,Software Engineer,0.4154,0.0463,0.7863
R1594,Data Analyst,0.4299,0.0898,0.7839
R1595,Backend Developer,0.5688,0.2398,0.9381
R1596,Data Analyst,0.4942,0.1682,0.8696
R1597,ML Engineer,0.5466,0.2114,0.9253
R1598,Data Analyst,0.446,0.2845,0.5561
R1599,Frontend Developer,0.3032,0.1931,0.1415
R1600,Data Scientist,0.6197,0.3162,0.9576
R1601,Data Scientist,0.5364,0.2091,0.9136
R1602,ML Engineer,0.3075,0.2081,0.1488
R1603,Data Scientist,0.4282,0.0845,0.7842
R1604,Frontend Developer,0.3454,0.1528,0.3287
R1605,Data Scientist,0.3733,0.2199,0.3388
R1606,Backend Developer,0.4427,0.378,0.3616
R1607,Software Engineer,0.6824,0.39,0.9765
R1608,Data Analyst,0.5106,0.1983,0.8801
R1609,Data Analyst,0.5428,0.2683,0.8927
R1610,ML Engineer,0.4238,0.0715,0.7849
R1611,Backend Developer,0.6124,0.2943,0.9579
R1612,Data Analyst,0.4376,0.1128,0.7827
R1613,Data Scientist,0.508,0.1641,0.8958
R1614,Backend Developer,0.4167,0.05,0.7861
R1615,Backend Developer,0.5836,0.2508,0.9478
R1616,Data Analyst,0.3845,0.3607,0.1925
R1617,ML Engineer,0.3989,0.2766,0.3483
R1618,Frontend Developer,0.5663,0.2702,0.924
R1619,Frontend Developer,0.5933,0.28,0.9474
R1620,Backend Developer,0.5305,0.1916,0.9141
R1621,Software Engineer,0.6842,0.3727,0.9793
R1622,Data Scientist,0.5351,0.2052,0.9137
R1623,Software Engineer,0.4865,0.1595,0.8606
R1624,ML Engineer,0.5144,0.4933,0.4872
R1625,ML Engineer,0.3442,0.0826,0.445
R1626,Software Engineer,0.2641,0.0922,0.1498
R1627,Software Engineer,0.5177,0.2739,0.8283
R1628,Data Analyst,0.527,0.221,0.8941
R1629,Frontend Developer,0.2215,0.1146,0.0629
R1630,Software Engineer,0.4909,0.1583,0.8699
R1631,Software Engineer,0.5023,0.1468,0.8963
R1632,Data Scientist,0.182,0.096,0.0374
R1633,Backend Developer,0.6147,0.3013,0.9578
R1634,Backend Developer,0.3451,0.2854,0.1615
R1635,Frontend Developer,0.2985,0.0704,0.2743
R1636,Frontend Developer,0.59,0.2501,0.9531
R1637,Frontend Developer,0.3943,0.333,0.2482
R1638,Backend Developer,0.5036,0.1507,0.8962
R1639,ML Engineer,0.594,0.2819,0.9473
R1640,Software Engineer,0.4302,0.0907,0.7839
R1641,Data Analyst,0.2005,0.1514,0.0367
R1642,Backend Developer,0.5155,0.1866,0.8952
R1643,Software Engineer,0.3976,0.3427,0.2476
R1644,ML Engineer,0.4277,0.0832,0.7843
R1645,Backend Developer,0.4258,0.0773,0.7846
R1646,Frontend Developer,0.31,0.1326,0.2244
R1647,Data Scientist,0.5947,0.2842,0.9473
R1648,ML Engineer,0.3643,0.0805,0.5394
R1649,Data Scientist,0.4289,0.0866,0.7841
R1650,Software Engineer,0.4457,0.2871,0.5416
R1651,Software Engineer,0.6734,0.3401,0.9795
R1652,Data Scientist,0.5733,0.2534,0.9379
R1653,Data Scientist,0.509,0.1936,0.8802
R1654,Backend Developer,0.4309,0.0926,0.7838
R1655,Backend Developer,0.3774,0.0572,0.6325
R1656,ML Engineer,0.4166,0.0498,0.7861
R1657,ML Engineer,0.5286,0.1857,0.9142
R1658,Backend Developer,0.7201,0.4268,0.9843
R1659,Frontend Developer,0.5581,0.2077,0.9387
R1660,Frontend Developer,0.51,0.2508,0.8293
R1661,Backend Developer,0.4115,0.1511,0.6216
R1662,Data Analyst,0.4949,0.1846,0.8597
R1663,Frontend Developer,0.4795,0.1384,0.8615
R1664,Backend Developer,0.6962,0.3551,0.9846
R1665,Data Scientist,0.635,0.305,0.9688
R1666,ML Engineer,0.4953,0.1527,0.8816
R1667,Backend Developer,0.6067,0.3002,0.9523
R1668,ML Engineer,0.415,0.0451,0.7863
R1669,Frontend Developer,0.4994,0.1649,0.8812
R1670,Data Scientist,0.4273,0.0818,0.7844
R1671,Software Engineer,0.4205,0.0616,0.7855
R1672,Data Scientist,0.4447,0.134,0.7815
R1673,ML Engineer,0.6718,0.3582,0.9767
R1674,Data Scientist,0.5633,0.2231,0.9384
R1675,Frontend Developer,0.3099,0.2214,0.1426
R1676,ML Engineer,0.5138,0.3705,0.6798
R1677,ML Engineer,0.6879,0.3303,0.9847
R1678,Frontend Developer,0.6372,0.3658,0.9536
R1679,Backend Developer,0.415,0.0449,0.7864
R1680,Software Engineer,0.7083,0.3916,0.9844
R1681,Frontend Developer,0.6536,0.3608,0.9683
R1682,ML Engineer,0.5469,0.2406,0.9129
R1683,Backend Developer,0.4661,0.3055,0.5983
R1684,ML Engineer,0.4972,0.1582,0.8814
R1685,Data Analyst,0.5045,0.1991,0.8685
R1686,ML Engineer,0.4816,0.1447,0.8612
R1687,Frontend Developer,0.6069,0.3007,0.9523
R1688,Data Scientist,0.5938,0.3148,0.9367
R1689,Data Analyst,0.4065,0.2529,0.4231
R1690,Data Analyst,0.4111,0.2904,0.3766
R1691,Backend Developer,0.4163,0.049,0.7861
R1692,Software Engineer,0.6176,0.3327,0.9519
R1693,Data Analyst,0.4264,0.0793,0.7845
R1694,Data Scientist,0.6034,0.2903,0.9525
R1695,Data Analyst,0.53,0.1901,0.9141
R1696,Backend Developer,0.424,0.0721,0.7849
R1697,Software Engineer,0.5524,0.3073,0.8726
R1698,Software Engineer,0.5588,0.3265,0.8719
R1699,ML Engineer,0.5601,0.2136,0.9386
R1700,Software Engineer,0.3476,0.1829,0.2935
R1701,Software Engineer,0.4907,0.1387,0.8821
R1702,ML Engineer,0.5311,0.1932,0.914
R1703,Data Analyst,0.5252,0.1756,0.9145
R1704,Data Scientist,0.4326,0.0977,0.7835
R1705,ML Engineer,0.1693,0.058,0.0378
R1706,ML Engineer,0.3127,0.2216,0.1404
R1707,Data Scientist,0.5079,0.2094,0.8681
R1708,Backend Developer,0.5641,0.2256,0.9384
R1709,Frontend Developer,0.421,0.0631,0.7854
R1710,Data Scientist,0.8379,0.5137,0.9963
R1711,Data Scientist,0.5358,0.2073,0.9137
R1712,Frontend Developer,0.5521,0.2277,0.9249
R1713,ML Engineer,0.6785,0.4356,0.9675
R1714,Software Engineer,0.4174,0.0522,0.786
R1715,ML Engineer,0.6115,0.4346,0.8943
R1716,Data Scientist,0.3168,0.2338,0.14
R1717,ML Engineer,0.509,0.1936,0.8802
R1718,Software Engineer,0.6018,0.3055,0.947
R1719,Software Engineer,0.536,0.2079,0.9137
R1720,Backend Developer,0.5749,0.2581,0.9378
R1721,Software Engineer,0.5844,0.2865,0.9372
R1722,ML Engineer,0.5197,0.199,0.8948
R1723,Data Analyst,0.7299,0.3898,0.9892
R1724,Data Scientist,0.428,0.0841,0.7843
R1725,Data Analyst,0.5606,0.2151,0.9386
R1726,Data Scientist,0.4192,0.2325,0.5209
R1727,Data Analyst,0.4531,0.3219,0.5073
R1728,Data Scientist,0.3268,0.2053,0.1947
R1729,Data Analyst,0.5339,0.2016,0.9138
R1730,Software Engineer,0.5201,0.2003,0.8947
R1731,ML Engineer,0.4965,0.1751,0.8693
R1732,Software Engineer,0.5605,0.2147,0.9386
R1733,ML Engineer,0.4219,0.0656,0.7852
R1734,Data Scientist,0.6113,0.314,0.9521
R1735,Backend Developer,0.4276,0.0829,0.7843
R1736,Frontend Developer,0.502,0.1461,0.8964
R1737,Frontend Developer,0.4205,0.0614,0.7855
R1738,Frontend Developer,0.4223,0.067,0.7852
R1739,Data Scientist,0.704,0.3785,0.9845
R1740,Data Analyst,0.6053,0.316,0.9468
R1741,Data Analyst,0.5109,0.1726,0.8956
R1742,Frontend Developer,0.5338,0.2013,0.9138
R1743,Data Analyst,0.4917,0.1607,0.8699
R1744,Data Scientist,0.4313,0.094,0.7837
R1745,Frontend Developer,0.4216,0.0649,0.7853
R1746,Frontend Developer,0.671,0.3329,0.9796
R1747,Data Analyst,0.4776,0.1184,0.8714
R1748,Frontend Developer,0.4761,0.2605,0.704
R1749,Data Analyst,0.5409,0.2227,0.9133
R1750,Frontend Developer,0.5155,0.1864,0.8952
R1751,Backend Developer,0.6277,0.2832,0.969
R1752,Data Scientist,0.4267,0.3226,0.3979
R1753,Backend Developer,0.5528,0.3083,0.8726
R1754,Data Analyst,0.5183,0.195,0.8949
R1755,Data Analyst,0.3688,0.1813,0.3883
R1756,Software Engineer,0.4284,0.0851,0.7842
R1757,Software Engineer,0.5648,0.2277,0.9383
R1758,Backend Developer,0.3056,0.0917,0.2729
R1759,Software Engineer,0.507,0.296,0.7634
R1760,ML Engineer,0.4058,0.1575,0.584
R1761,Frontend Developer,0.4886,0.1326,0.8823
R1762,Backend Developer,0.5348,0.2045,0.9138
R1763,Backend Developer,0.702,0.3727,0.9845
R1764,Frontend Developer,0.291,0.1398,0.1656
R1765,Frontend Developer,0.6156,0.3039,0.9577
R1766,Data Scientist,0.708,0.3905,0.9845
R1767,Frontend Developer,0.6485,0.3454,0.9684
R1768,Frontend Developer,0.5366,0.2097,0.9136
R1769,Backend Developer,0.6308,0.2925,0.969
R1770,ML Engineer,0.4218,0.0653,0.7853
R1771,Data Analyst,0.5226,0.3427,0.7607
R1772,ML Engineer,0.5235,0.1706,0.9146
R1773,Data Analyst,0.4296,0.0889,0.784
R1774,ML Engineer,0.6385,0.3154,0.9687
R1775,ML Engineer,0.6388,0.3164,0.9687
R1776,Frontend Developer,0.4199,0.0598,0.7856
R1777,Data Scientist,0.681,0.3859,0.9765
R1778,ML Engineer,0.5645,0.2269,0.9383
R1779,Data Scientist,0.485,0.1216,0.8826
R1780,Data Analyst,0.5581,0.2077,0.9387
R1781,ML Engineer,0.7277,0.4497,0.9842
R1782,Software Engineer,0.512,0.1761,0.8955
R1783,Data Scientist,0.706,0.3845,0.9845
R1784,Backend Developer,0.576,0.378,0.8701
R1785,Frontend Developer,0.5346,0.2039,0.9138
R1786,Backend Developer,0.5821,0.2795,0.9374
R1787,Backend Developer,0.7016,0.4049,0.9813
R1788,Software Engineer,0.8453,0.536,0.9962
R1789,Software Engineer,0.4786,0.2232,0.7721
R1790,Software Engineer,0.4896,0.1354,0.8822
R1791,Data Analyst,0.3812,0.1852,0.4327
R1792,Frontend Developer,0.2804,0.1911,0.1024
R1793,Frontend Developer,0.5075,0.2433,0.8297
R1794,Data Analyst,0.5532,0.2595,0.9124
R1795,Software Engineer,0.3639,0.1666,0.3895
R1796,Frontend Developer,0.4694,0.1081,0.8626
R1797,Software Engineer,0.4907,0.1721,0.8602
R1798,Frontend Developer,0.6817,0.3652,0.9794
R1799,Data Scientist,0.5435,0.2306,0.9131
R1800,ML Engineer,0.7445,0.4334,0.9891
R1801,Frontend Developer,0.7001,0.3671,0.9846
R1802,Backend Developer,0.4982,0.2155,0.8309
R1803,Data Analyst,0.5255,0.1766,0.9145
R1804,Data Scientist,0.4451,0.1354,0.7815
R1805,Data Analyst,0.4364,0.1092,0.7829
R1806,Software Engineer,0.4277,0.083,0.7843
R1807,ML Engineer,0.4749,0.2121,0.7728
R1808,Frontend Developer,0.3466,0.2064,0.2624
R1809,Data Analyst,0.5267,0.1802,0.9144
R1810,Backend Developer,0.5609,0.2161,0.9385
R1811,Frontend Developer,0.3093,0.1928,0.1628
R1812,Backend Developer,0.5021,0.1462,0.8964
R1813,Backend Developer,0.383,0.245,0.3351
R1814,Backend Developer,0.3444,0.1732,0.2941
R1815,ML Engineer,0.4823,0.1326,0.8709
R1816,Data Scientist,0.586,0.2579,0.9477
R1817,Software Engineer,0.4718,0.1987,0.772
R1818,Software Engineer,0.489,0.1528,0.8701
R1819,Backend Developer,0.4874,0.1479,0.8703
R1820,Data Scientist,0.431,0.0931,0.7838
R1821,Frontend Developer,0.3199,0.2431,0.1396
R1822,Software Engineer,0.5355,0.2064,0.9137
R1823,Frontend Developer,0.5591,0.2106,0.9386
R1824,Data Analyst,0.5631,0.2226,0.9384
R1825,Frontend Developer,0.3476,0.2928,0.1612
R1826,Backend Developer,0.5323,0.2643,0.8667
R1827,Software Engineer,0.5629,0.2222,0.9384
R1828,Frontend Developer,0.3714,0.2641,0.2523
R1829,Data Analyst,0.5993,0.278,0.9527
R1830,ML Engineer,0.5266,0.1799,0.9144
R1831,Software Engineer,0.593,0.2589,0.9529
R1832,ML Engineer,0.4947,0.1699,0.8695
R1833,Data Scientist,0.4817,0.2325,0.7716
R1834,Backend Developer,0.6412,0.3237,0.9686
R1835,ML Engineer,0.5841,0.2322,0.9533
R1836,Software Engineer,0.4348,0.1044,0.7832
R1837,Software Engineer,0.2749,0.1247,0.1422
R1838,Data Analyst,0.6342,0.3027,0.9689
R1839,Data Analyst,0.5613,0.2838,0.9117
R1840,Frontend Developer,0.5376,0.2127,0.9136
R1841,Data Analyst,0.5417,0.1964,0.9256
R1842,Data Scientist,0.4458,0.1375,0.7814
R1843,Data Analyst,0.6427,0.328,0.9686
R1844,Frontend Developer,0.4608,0.174,0.7764
R1845,Data Analyst,0.4936,0.1664,0.8696
R1846,Backend Developer,0.55,0.25,0.9126
R1847,Software Engineer,0.2309,0.1284,0.0675
R1848,Frontend Developer,0.629,0.287,0.969
R1849,Backend Developer,0.5728,0.2518,0.9379
R1850,Data Analyst,0.5344,0.2031,0.9138
R1851,Frontend Developer,0.3912,0.2535,0.35
R1852,Data Analyst,0.4957,0.1537,0.8816
R1853,Software Engineer,0.5211,0.3205,0.786
R1854,Data Analyst,0.6895,0.4115,0.9763
R1855,ML Engineer,0.4172,0.0516,0.786
R1856,ML Engineer,0.5075,0.1625,0.8959
R1857,Frontend Developer,0.4964,0.1291,0.8969
R1858,Frontend Developer,0.6486,0.3457,0.9684
R1859,Data Scientist,0.516,0.188,0.8951
R1860,Software Engineer,0.5885,0.2454,0.9531
R1861,Data Scientist,0.5515,0.2259,0.925
R1862,Software Engineer,0.1705,0.0616,0.0377
R1863,Frontend Developer,0.5636,0.2242,0.9384
R1864,Frontend Developer,0.5219,0.2056,0.8946
R1865,ML Engineer,0.5679,0.2371,0.9382
R1866,Frontend Developer,0.5876,0.2427,0.9532
R1867,Data Analyst,0.5842,0.2861,0.9372
R1868,ML Engineer,0.4209,0.0628,0.7854
R1869,Software Engineer,0.3886,0.0908,0.63
R1870,ML Engineer,0.63,0.2899,0.969
R1871,Data Analyst,0.2963,0.2103,0.1172
R1872,Data Analyst,0.6243,0.3299,0.9574
R1873,Frontend Developer,0.5256,0.1767,0.9145
R1874,Software Engineer,0.429,0.087,0.7841
R1875,Software Engineer,0.3266,0.2047,0.1947
R1876,Backend Developer,0.305,0.1151,0.2334
R1877,ML Engineer,0.4077,0.373,0.2458
R1878,Software Engineer,0.321,0.2465,0.1395
R1879,Frontend Developer,0.452,0.2061,0.7002
R1880,Frontend Developer,0.576,0.2614,0.9377
R1881,Frontend Developer,0.6906,0.3386,0.9847
R1882,Data Analyst,0.6051,0.2954,0.9524
R1883,Backend Developer,0.6429,0.5538,0.8574
R1884,Software Engineer,0.6063,0.299,0.9524
R1885,Frontend Developer,0.415,0.0449,0.7864
R1886,Frontend Developer,0.492,0.1618,0.8698
R1887,Data Analyst,0.4219,0.0656,0.7852
R1888,Frontend Developer,0.4104,0.1669,0.5953
R1889,Data Analyst,0.4752,0.213,0.7727
R1890,Software Engineer,0.5252,0.1755,0.9145
R1891,Data Analyst,0.3304,0.2744,0.1384
R1892,Backend Developer,0.4829,0.1343,0.8708
R1893,ML Engineer,0.4602,0.1723,0.7765
